"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Jan-14 to 31-Jan-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AAA SIGNS LIMITED,5114918,23-Jan-14,Environmental and Regulatory Services ,  Environmental Enforcement,222500,1506  ,Repair and Maintenance,344.1,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AAA SIGNS LIMITED,5114920,22-Jan-14,Environmental and Regulatory Services ,  Environmental Enforcement,222500,1506  ,Repair and Maintenance,327.75,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5103405,21-Jan-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,382.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5103504,17-Jan-14,Education Services ,  Funding for 3 and 4 Year Old Children,24018,3251  ,Other Contributions,"5,558.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5120435,24-Jan-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5120433,24-Jan-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5120434,24-Jan-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5120434,24-Jan-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"10,945.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,5089538,08-Jan-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,275.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABERWICKE RESIDENTIAL HOME,5111100,20-Jan-14,Adult Social Care ,  LD North - LN1A1,306152,3359  ,Residential Care,"1,701.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5086296,03-Jan-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,486.25,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5086297,03-Jan-14,Adult Social Care ,  LD Central - LC1M1 - One,306150,3360  ,Homecare,315.98,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACE AND CENTRAL TAXIS,5091858,27-Jan-14,Central Services - Corporate and Democratic Core ,  Office Services,115002,2060  ,Vehicle hire,263.9,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111074,20-Jan-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"3,729.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111074,20-Jan-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111074,20-Jan-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3359  ,Residential Care,932.28,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111074,20-Jan-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"3,749.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111074,20-Jan-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,"2,303.72",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111074,20-Jan-14,Adult Social Care,  CHC Packages,306420,3359  ,Residential Care,932.28,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111075,20-Jan-14,Adult Social Care ,  LD West - LW1H1,306154,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111075,20-Jan-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"5,593.68",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111075,20-Jan-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111075,20-Jan-14,Adult Social Care ,  Older MH West - PWMH1,306414,3357  ,Care Homes with Nursing,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5111075,20-Jan-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"1,864.56",Expense
