"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Feb-14 to 28-Feb-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5150856,14-Feb-14,Education Services ,  Funding for 3 and 4 Year Old Children,24018,3251  ,Other Contributions,"3,344.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5151416,14-Feb-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,"1,023.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5146401,13-Feb-14,Adult Social Care ,  Older MH North - PNMB1 - Two,306408,3359  ,Residential Care,"1,042.42",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5157787,20-Feb-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,521.21,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5157788,20-Feb-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5157788,20-Feb-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"9,121.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,5139927,11-Feb-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,651.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABERWICKE RESIDENTIAL HOME,5164923,25-Feb-14,Adult Social Care ,  LD North - LN1A1,306152,3359  ,Residential Care,"1,701.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5144360,12-Feb-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,"1,165.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5144372,12-Feb-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,371.88,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5144333,12-Feb-14,Adult Social Care ,  LD Central - LC1M1 - One,306150,3360  ,Homecare,620.46,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5144327,12-Feb-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,932.16,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5144316,12-Feb-14,Adult Social Care ,  LD Central - LC1M1 - One,306150,3360  ,Homecare,293,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5144311,12-Feb-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,607.8,Expense
