"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Mar-14 to 31-Mar-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5173231,10-Mar-14,Education Services ,  Funding for 3 and 4 Year Old Children,24018,3251  ,Other Contributions,777,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5203464,21-Mar-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,977.27,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5203464,21-Mar-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"4,886.35",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5203463,21-Mar-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5203463,21-Mar-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"9,121.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,5183283,10-Mar-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,275.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABERWICKE RESIDENTIAL HOME,5204694,21-Mar-14,Adult Social Care ,  LD North - LN1A1,306152,3359  ,Residential Care,"2,613.11",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5177408,06-Mar-14,Adult Social Care ,  Older PDI South - PSLTB - One,306409,3360  ,Homecare,253.18,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5192825,17-Mar-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,932.17,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5192821,17-Mar-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,496.37,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5213356,28-Mar-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,990.42,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5213358,28-Mar-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,471.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203502,20-Mar-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"1,997.74",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203502,20-Mar-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203502,20-Mar-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3357  ,Care Homes with Nursing,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203502,20-Mar-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"2,008.86",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203502,20-Mar-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,"1,234.13",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203504,20-Mar-14,Adult Social Care ,  LD West - LW1H1,306154,3359  ,Residential Care,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203504,20-Mar-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"3,995.48",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203504,20-Mar-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203504,20-Mar-14,Adult Social Care ,  Older MH West - PWMH1,306414,3357  ,Care Homes with Nursing,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203504,20-Mar-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,998.87,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5203506,20-Mar-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,"1,997.74",Expense
