smcveig,,,,,,,,,,,
Period 1-Apr-14 to 30-Apr-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5245609,22-Apr-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"5,407.57",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5245610,22-Apr-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,846.97,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5245610,22-Apr-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"5,081.82",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,5227312,07-Apr-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,749.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5228791,08-Apr-14,Adult Social Care ,  Older PDI South - PSLTB - One,306409,3360  ,Homecare,312.04,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5246271,24-Apr-14,Adult Social Care ,  Older PDI South - PSLTC - Two,306410,3360  ,Homecare,"1,165.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5246227,24-Apr-14,Adult Social Care ,  Older PDI South - PSLTB - One,306409,3360  ,Homecare,282.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5246267,24-Apr-14,Adult Social Care ,  Older PDI Central - PCLB1 - Two,306401,3360  ,Homecare,501.44,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5243777,16-Apr-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3357  ,Care Homes with Nursing,"1,731.38",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5243777,16-Apr-14,Adult Social Care ,  Older PDI West - PWLTH - One,306412,3359  ,Residential Care,865.69,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5243777,16-Apr-14,Adult Social Care ,  Older PDI West - PWLTP - Two,306413,3357  ,Care Homes with Nursing,865.69,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5243777,16-Apr-14,Adult Social Care ,  Older MH West - PWMH1,306414,3359  ,Residential Care,"1,741.02",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5243777,16-Apr-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,"1,071.63",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,5243777,16-Apr-14,Adult Social Care,  F.N.C.,306421,3357  ,Care Homes with Nursing,617.82,Expense
