"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-May-14 to 31-May-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS PLAYGROUNDS,5249123,14-May-14,Environmental and Regulatory Services ,  Community Spaces,222550,1506  ,Repair and Maintenance,"28,917.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5276842,15-May-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3357  ,Care Homes with Nursing,"2,540.90",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5276842,15-May-14,Adult Social Care,  CHC Packages,306420,3357  ,Care Homes with Nursing,328.38,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5276841,15-May-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5276841,15-May-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"10,945.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5286879,22-May-14,Adult Social Care,  CHC Packages,306420,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEY MILL CHILDCARE,5272235,13-May-14,Education Services ,  Funding for 3 and 4 Year Old Children,24018,3251  ,Other Contributions,292.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEY MILL CHILDCARE,5272538,13-May-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,765,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,5271994,13-May-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,935,Expense
