"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Jul-14 to 31-Jul-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,AAA CHEMICALS LIMITED,5368844,21-Jul-14,Environmental and Regulatory Services ,  NEAT Team South East,217200,1700  ,Grounds Maintenance,460,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5361905,16-Jul-14,Education Services ,  Free Early Learning and Childcare (2Year Olds) Grant,24022,3251  ,Other Contributions,"1,589.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,5361961,16-Jul-14,Education Services ,  Funding for 3 and 4 Year Old Children,24018,3251  ,Other Contributions,"12,652.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5340226,01-Jul-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,456.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5340227,01-Jul-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,456.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5357198,10-Jul-14,Adult Social Care ,  Older PDI Central - PCLA1,306402,3359  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5357198,10-Jul-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"7,296.96",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5357198,10-Jul-14,Adult Social Care,  CHC Packages,306420,3359  ,Residential Care,"3,884.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,5357199,10-Jul-14,Adult Social Care ,  Older Pdi North - PNLTA,306405,3359  ,Residential Care,"1,237.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBY LETTINGS LIMTED,5356826,10-Jul-14,Housing General Fund ,  Homelessness and Housing Options,246120,3251  ,Other Contributions,630,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABCA SYSTEMS,5378341,25-Jul-14,Central Services - Corporate and Democratic Core ,  Democratic Services/Scrutiny,119001,2639  ,Professional Services,"1,019.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,5345767,09-Jul-14,Education Services ,  Home to School Transport,204120,2095  ,Pupils - Travel,"1,749.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,5358075,14-Jul-14,Adult Social Care ,  Older PDI South - PSLTB - One,306409,3360  ,Homecare,282.6,Expense
