"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Aug-14 to 31-Aug-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,21206,12-Aug-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167007  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,21206,12-Aug-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,"7,296.96",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,21206,12-Aug-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"3,884.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD SOCIETY (BERWICK BANK HILL HOUSE),43720,28-Aug-14,Maintenance Debtors - General,  Maintenance Debtors - General,990016,500197  ,Debtors Raised,"1,062.69",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,18779,08-Aug-14,N/A,  11i receipt accrual balance,991653,500215  ,Manual Receipt Accruals,"1,190.00",Liability
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,35110,21-Aug-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167008  ,Homecare,430.53,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMY GEOMATICS LIMITED,25751,26-Aug-14,Fixed Asset Account,  Fixed Asset Account,990120,500171  ,CIP - Infrastructure,"4,405.00",Revenue
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACE AND CENTRAL TAXIS,33775,27-Aug-14,Central Services,  Office Services,115002,132000  ,Vehicle hire,259.5,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,42371,27-Aug-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"1,071.63",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,22308,13-Aug-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"3,729.12",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,22308,13-Aug-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,864.56",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,22308,13-Aug-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,749.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,22308,13-Aug-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
