"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Oct-14 to 31-Oct-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,122513,16-Oct-14,Children's and Education Services,  Free Early Learning and Childcare (2Year Olds) Grant,24022,166000  ,Other Contributions,"1,415.25",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,122408,16-Oct-14,Children's and Education Services,  Funding for 3 and 4 Year Old Children,24018,166000  ,Other Contributions,"5,050.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,144415,29-Oct-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,"1,368.18",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,144416,29-Oct-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,456.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,102134,03-Oct-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167007  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,102134,03-Oct-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,"7,296.96",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,102134,03-Oct-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"3,884.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,102135,03-Oct-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"4,299.99",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD SOCIETY (BERWICK BANK HILL HOUSE),141055,28-Oct-14,Personnel Allow Payments,  Personnel Allow Payments,990345,500190  ,Personal Allowances Dr,"1,162.69",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,107978,24-Oct-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,664.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,97008,02-Oct-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,"1,165.20",Expense
