"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Nov-14 to 30-Nov-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,167254,12-Nov-14,Children's and Education Services,  Free Early Learning and Childcare (2Year Olds) Grant,24022,166000  ,Other Contributions,"1,617.75",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABACUS TEACHING NURSERY,167118,12-Nov-14,Children's and Education Services,  Funding for 3 and 4 Year Old Children,24018,166000  ,Other Contributions,"5,691.50",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,187800,24-Nov-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,"1,889.39",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,187801,24-Nov-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,"1,368.18",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,151342,03-Nov-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167007  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,151342,03-Nov-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,"7,296.96",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,151342,03-Nov-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"5,708.48",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,198411,28-Nov-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167007  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,198411,28-Nov-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,"7,296.96",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,198411,28-Nov-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"5,708.48",Expense
