"Supplier Payments, where a specific charge is £250 or greater.",,,,,,,,,,,
Period 1-Dec-14 to 31-Dec-14,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Authority,,Vendor Name,Invoice,Payment ,Service Responsible for Spend,Service,Cost,Subjective,Subjective,Amount Exc,Type
,,,Reference,Date,,,Centre,,Description,Tax (£),
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,221608,12-Dec-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,912.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,227436,16-Dec-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,242659,23-Dec-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167007  ,Residential Care,"1,824.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,242659,23-Dec-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,"7,296.96",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,242659,23-Dec-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"3,884.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,242660,23-Dec-14,Adult Social Care,  Older MH North - PNMB1 - Two,306408,167007  ,Residential Care,"1,107.57",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,242661,23-Dec-14,Adult Social Care,  Older Pdi North - PNLTA,306405,167007  ,Residential Care,456.06,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABBEYFIELD NORTH NORTHUMBERLAND EXTRA CARE SOCIETY,242662,23-Dec-14,Adult Social Care,  CHC Packages,306420,167007  ,Residential Care,"1,042.42",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABC TAXIS,211364,05-Dec-14,Children's and Education Services,  Home to School Transport,204120,136000  ,Pupils - Travel,"1,700.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,200064,02-Dec-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,"1,165.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,200065,02-Dec-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,"1,165.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,200068,02-Dec-14,Adult Social Care,  Older PDI South - PSLTB - One,306409,167008  ,Homecare,282.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,200070,02-Dec-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,"1,019.55",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,200072,02-Dec-14,Adult Social Care,  Older PDI Central - PCLB1 - Two,306401,167008  ,Homecare,729.39,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,248181,29-Dec-14,Adult Social Care,  Older PDI Central - PCLA1,306402,167008  ,Homecare,266,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ABOUT ME CARE AND SUPPORT LTD,248522,29-Dec-14,Adult Social Care,  Older PDI South - PSLTC - Two,306410,167008  ,Homecare,912.74,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMICS,201196,09-Dec-14,Children's and Education Services,  Kyloe House,17010,100600  ,Temporary / Agency Staff,795,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACADEMICS,201201,16-Dec-14,Children's and Education Services,  Kyloe House,17010,100600  ,Temporary / Agency Staff,795,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS INDEPENDENT LTD,242752,22-Dec-14,Central Services,  Blue Badges Scheme,255500,144022  ,Medical Fees,900,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACCESS INDEPENDENT LTD,191488,22-Dec-14,Central Services,  Blue Badges Scheme,255500,144022  ,Medical Fees,700,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242976,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"3,747.76",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242976,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242976,23-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"3,768.64",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242976,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242977,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,003.86",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242977,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,237.62,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Adult Social Care,  LD West - LW1H1,306154,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"5,621.64",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"1,774.24",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242978,23-Dec-14,Personnel Allow Payments,  Personnel Allow Payments,990345,500190  ,Personal Allowances Dr,95.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242979,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242979,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167007  ,Residential Care,"3,747.76",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242979,23-Dec-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167007  ,Residential Care,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242979,23-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242979,23-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"5,663.40",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242979,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242980,23-Dec-14,Adult Social Care,  Older PDI West - PWLTP - Two,306413,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242980,23-Dec-14,Adult Social Care,  Older MH West - PWMH1,306414,167007  ,Residential Care,"1,894.76",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242980,23-Dec-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"2,317.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242980,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,887.12,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242981,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,443.56,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242982,23-Dec-14,Adult Social Care,  Older PDI West - PWLTH - One,306412,167006  ,Care Homes with Nursing,"1,873.88",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242982,23-Dec-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,"2,317.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242982,23-Dec-14,Adult Social Care,  F.N.C.,306421,167006  ,Care Homes with Nursing,"3,041.55",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACOMB COURT CARE HOME,242975,23-Dec-14,Adult Social Care,  CHC Packages,306420,167006  ,Care Homes with Nursing,-413.83,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,209531,16-Dec-14,Children's and Education Services,  Family Placement Service,17012,181001  ,Other Placement Costs,"3,145.16",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,216031,10-Dec-14,Children's and Education Services,  Adult Safeguarded Learning - Default,12001,144003  ,School Trips and Educational Visits,"1,000.00",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,221295,12-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"1,018.44",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,178011,08-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,993.6,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,178009,08-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,884.56,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,177999,08-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"1,301.62",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,178013,08-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"1,391.04",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,204231,24-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,"2,194.20",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,204235,24-Dec-14,Children's and Education Services,  Berwick Sure Start Local Programme,9403,100600  ,Temporary / Agency Staff,538.2,Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,197140,24-Dec-14,Children's and Education Services,  Out Of County Placements,16020,167004  ,Out Of County Residential Placements,"14,570.70",Expense
Northumberland County Council,http://statistics.data.gov.uk/doc/local-authority/35,ACTION FOR CHILDREN SERVICES LIMITED,197138,24-Dec-14,Children's and Education Services,  Out Of County Placements,16020,167004  ,Out Of County Residential Placements,"16,547.60",Expense
